date,OT,cdr_pump,cdr_fan1,fre1_fan5,cpr3,cpr1,fre1_fan3,cpr2
2024/3/25 2:00,49.00000167,0.333333333,0,0.166666667,0,33.33333333,0.166666667,8.333333333
2024/3/25 3:00,48.20000143,0.142857143,0,0.142857143,14.28571429,21.42857143,0.142857143,7.142857143
2024/3/25 4:00,63.57142857,0.142857143,0,0.285714286,28.57142857,17.85714286,0.285714286,14.28571429
2024/3/25 5:00,44.77143,0.142857143,0,0.142857143,14.28571429,14.28571429,0.142857143,3.571428571
2024/3/25 6:00,31.6,0,0,0.142857143,0,0,0.142857143,17.85714286
2024/3/25 7:00,61.28571571,0.285714286,0,0.285714286,17.85714286,14.28571429,0.285714286,17.85714286
2024/3/25 8:00,75.42857286,0.428571429,0,0.285714286,28.57142857,28.57142857,0.285714286,21.42857143
2024/3/25 9:00,52,0.428571429,0,0.142857143,14.28571429,14.28571429,0.142857143,10.71428571
2024/3/25 10:00,71.22857143,0.285714286,0,0.285714286,21.42857143,17.85714286,0.285714286,14.28571429
2024/3/25 11:00,110.6000014,0.571428571,0.142857143,0.285714286,42.85714286,35.71428571,0.285714286,28.57142857
2024/3/25 12:00,66.22857143,0.428571429,0.285714286,0.142857143,25,21.42857143,0,7.142857143
2024/3/25 13:00,104.4571414,0.857142857,0.142857143,0.285714286,39.28571429,25,0.285714286,35.71428571
2024/3/25 14:00,44.39999857,0.285714286,0.142857143,0.142857143,14.28571429,25,0.142857143,0
2024/3/25 15:00,77.22857143,0.428571429,0,0.142857143,25,21.42857143,0.142857143,21.42857143
2024/3/25 16:00,108.9142857,0.428571429,0.285714286,0.285714286,28.57142857,42.85714286,0.142857143,35.71428571
2024/3/25 17:00,51.71428571,0.142857143,0.142857143,0.142857143,3.571428571,14.28571429,0.142857143,14.28571429
2024/3/25 18:00,81.25714286,0.285714286,0.142857143,0.285714286,21.42857143,25,0.285714286,17.85714286
2024/3/25 19:00,73.57143,0.428571429,0,0.142857143,10.71428571,28.57142857,0.142857143,21.42857143
2024/3/25 20:00,57.20000143,0.142857143,0.142857143,0.142857143,17.85714286,14.28571429,0.142857143,3.571428571
2024/3/25 21:00,69.22857143,0.285714286,0.142857143,0.142857143,14.28571429,28.57142857,0.142857143,25
2024/3/25 22:00,54.54285857,0.285714286,0.142857143,0.142857143,25,0,0.142857143,14.28571429
2024/3/25 23:00,39.68571429,0.142857143,0,0.142857143,3.571428571,14.28571429,0.142857143,7.142857143
